name,party,state,chamber,repshare,cs1,cs2
Alan Franken,D,MN,S,,,
Amy Klobuchar,D,MN,S,,,
Angus King,I,ME,S,,,
Barbara Boxer,D,CA,S,,,
Barbara Mikulski,D,MD,S,,,
Benjamin Cardin,D,MD,S,,,
Benjamin Sasse,R,NE,S,,,
Bernard Sanders,I,VT,S,,,
Bill Cassidy,R,LA,S,,,
Bill Nelson,D,FL,S,,,
Bob Corker,R,TN,S,,,
Brian Schatz,D,HI,S,,,
Charles Grassley,R,IA,S,,,
Charles Schumer,D,NY,S,,,
Chris Coons,D,DE,S,,,
Christopher Murphy,D,CT,S,,,
Claire Mccaskill,D,MO,S,,,
Cory Booker,D,NJ,S,,,
Cory Gardner,R,CO,S,,,
Dan Sullivan,R,AK,S,,,
Daniel Coats,R,IN,S,,,
David Perdue,R,GA,S,,,
David Vitter,R,LA,S,,,
Dean Heller,R,NV,S,,,
Deb Fischer,R,NE,S,,,
Debbie Stabenow,D,MI,S,,,
Dianne Feinstein,D,CA,S,,,
Edward Markey,D,MA,S,,,
Elizabeth Warren,D,MA,S,,,
Gary Peters,D,MI,S,,,
Harry Reid,D,NV,S,,,
Heidi Heitkamp,D,ND,S,,,
James Inhofe,R,OK,S,,,
James Lankford,R,OK,S,,,
Jeanne Shaheen,D,NH,S,,,
Jeff Flake,R,AZ,S,,,
Jeff Merkley,D,OR,S,,,
Jefferson Sessions,R,AL,S,,,
Jerry Moran,R,KS,S,,,
Joe Donnelly,D,IN,S,,,
Joe Manchin,D,WV,S,,,
John Barrasso,R,WY,S,,,
John Boozman,R,AR,S,,,
John Cornyn,R,TX,S,,,
John Hoeven,R,ND,S,,,
John Isakson,R,GA,S,,,
John Mccain,R,AZ,S,,,
John Reed,D,RI,S,,,
John Thune,R,SD,S,,,
Jon Tester,D,MT,S,,,
Joni Ernst,R,IA,S,,,
Kelly Ayotte,R,NH,S,,,
Kirsten Gillibrand,D,NY,S,,,
Lamar Alexander,R,TN,S,,,
Lindsey Graham,R,SC,S,,,
Lisa Murkowski,R,AK,S,,,
Marco Rubio,R,FL,S,,,
Maria Cantwell,D,WA,S,,,
Mark Kirk,R,IL,S,,,
Mark Warner,D,VA,S,,,
Martin Heinrich,D,NM,S,,,
Mazie Hirono,D,HI,S,,,
Michael Bennet,D,CO,S,,,
Michael Crapo,R,ID,S,,,
Michael Enzi,R,WY,S,,,
Mike Lee,R,UT,S,,,
Mike Rounds,R,SD,S,,,
Mitch Mcconnell,R,KY,S,,,
Orrin Hatch,R,UT,S,,,
Pat Roberts,R,KS,S,,,
Patrick Leahy,D,VT,S,,,
Patrick Toomey,R,PA,S,,,
Patty Murray,D,WA,S,,,
Rand Paul,R,KY,S,,,
Richard Blumenthal,D,CT,S,,,
Richard Burr,R,NC,S,,,
Richard Durbin,D,IL,S,,,
Richard Shelby,R,AL,S,,,
Robert Casey,D,PA,S,,,
Robert Menendez,D,NJ,S,,,
Robert Portman,R,OH,S,,,
Roger Wicker,R,MS,S,,,
Ron Johnson,R,WI,S,,,
Ron Wyden,D,OR,S,,,
Roy Blunt,R,MO,S,,,
Sheldon Whitehouse,D,RI,S,,,
Shelley Capito,R,WV,S,,,
Sherrod Brown,D,OH,S,,,
Steve Daines,R,MT,S,,,
Susan Collins,R,ME,S,,,
Tammy Baldwin,D,WI,S,,,
Ted Cruz,R,TX,S,,,
Thad Cochran,R,MS,S,,,
Thom Tillis,R,NC,S,,,
Thomas Carper,D,DE,S,,,
Tim Scott,R,SC,S,,,
Timothy Kaine,D,VA,S,,,
Tom Cotton,R,AR,S,,,
Tom Udall,D,NM,S,,,
