"day","temperature"
1,43.9
2,41
3,41.8
4,43.1
5,43.4
6,42.1
7,46
8,43.9
9,48.8
10,46
11,48.1
12,52.5
13,44.6
14,42.4
15,41.2
16,42.7
17,41
18,32.7
19,27.5
20,35.1
21,35.6
22,31.5
23,33.4
24,38.9
25,44.7
26,41.8
27,40.3
28,34.7
29,37.4
30,36
31,38.2
32,40.5
33,43.1
34,39.9
35,41
36,35.1
37,33.7
38,32.5
39,26.9
40,30.3
41,33.2
42,33.4
43,36.9
44,34.9
45,31.5
46,34.4
47,32.8
48,38.3
49,36.5
50,38.4
51,38.7
52,35.6
53,40.4
54,40.9
55,39.6
56,39.1
57,40
58,38.7
59,28.6
60,31.2
61,31.1
62,32.6
63,34.7
64,38.6
65,34.9
66,38.4
67,37.8
68,39.4
69,40.2
70,40
71,34.6
72,33.5
73,34.9
74,31
75,29.5
76,31.7
77,33.7
78,34.2
79,30.4
80,27
81,32.4
82,32.3
83,31.7
84,30.6
85,26.5
86,29
87,28.1
88,27.6
89,30.5
90,32.1
91,34.8
92,31.1
93,31.8
94,34.4
95,28.6
96,25.3
97,22.1
98,18.7
99,20.9
100,24.1
101,27.9
102,30
103,25.3
104,30.5
105,26.4
106,25.9
107,23.8
108,23.2
109,23.6
110,23.6
111,23.1
112,23.1
113,21.2
114,19.8
115,15.2
116,15.8
117,15.7
118,25.3
119,19.7
120,20.2
121,15.6
122,12.3
123,14.8
124,13.1
125,14.8
126,14.6
127,13.9
128,9.1
129,8
130,11.4
131,14.9
132,14.1
133,15
134,18.9
135,22.5
136,17.3
137,16.6
138,20
139,17.3
140,16.6
141,16
142,13
143,12.3
144,12.9
145,12.2
146,16.1
147,14.1
148,12.8
149,15.2
150,11.5
151,12
152,7.7
153,12.9
154,12.1
155,10.9
156,7.7
157,9.1
158,7.7
159,7.5
160,12.7
161,12
162,8.7
163,10.1
164,9.5
165,11.9
166,16
167,11.6
168,12.9
169,12.6
170,14.8
171,12.9
172,14.8
173,8.3
174,14.1
175,15.6
176,13.7
177,8.3
178,10.9
179,12.2
180,11.6
181,11.6
182,9.4
183,10.8
184,11.4
185,10.2
186,6.1
187,9.4
188,11.3
189,8.4
190,4.1
191,6.5
192,6.5
193,8.3
194,4.9
195,3.6
196,8.8
197,10.4
198,12
199,16.9
200,15.3
201,7.7
202,9.5
203,13.2
204,18.5
205,12
206,8.1
207,6.7
208,4.7
209,4.5
210,5.8
211,3.7
212,12
213,12
214,11.5
215,12.9
216,12.5
217,11.8
218,16.1
219,14.1
220,9.6
221,11.4
222,10.6
223,9.5
224,7.1
225,10
226,10.2
227,12.5
228,11.9
229,10.3
230,14.9
231,13.6
232,16.4
233,12
234,11.1
235,11.2
236,10.9
237,16
238,15.5
239,16
240,12.9
241,11.4
242,15.5
243,19.3
244,22
245,16
246,22.2
247,23.5
248,21.3
249,22.1
250,17.6
251,14.2
252,15.3
253,12.4
254,14.6
255,19.6
256,16.1
257,14.6
258,16
259,13.9
260,14.4
261,18.5
262,21.8
263,22.4
264,16.2
265,17.3
266,21.6
267,23.8
268,22.5
269,14.1
270,16.6
271,19.9
272,20.8
273,21.8
274,23.4
275,22.1
276,26.4
277,26.9
278,22.3
279,26.9
280,29.8
281,30.7
282,23.9
283,22.6
284,25.3
285,25.5
286,26.7
287,33.9
288,29.2
289,22.1
290,24.3
291,23.1
292,25.7
293,23.9
294,31.7
295,30.3
296,28.3
297,27.9
298,30.8
299,30.6
300,25.4
301,26.6
302,29.9
303,30.1
304,32.4
305,31.4
306,31.1
307,32.5
308,35.2
309,30.3
310,30.7
311,30.9
312,29
313,27
314,26.8
315,30.4
316,30
317,28.6
318,30.6
319,27.9
320,32.8
321,31.8
322,33.1
323,33.7
324,34.1
325,39.8
326,35.9
327,39.2
328,38.2
329,35
330,35
331,37.6
332,35.9
333,33.8
334,35.1
335,38.6
336,37.8
337,33.5
338,30.7
339,30.4
340,30.9
341,32.9
342,36.4
343,35.5
344,33
345,36.4
346,37.8
347,41.4
348,35.5
349,36.7
350,41.4
351,42.8
352,39.2
353,41.3
354,38.1
355,37
356,41.3
357,39.8
358,42.2
359,40.5
360,35.5
361,34.2
362,32.6
363,33.3
364,34.2
365,35.5
