"treat","age","educ","black","hispanic","married","nodegree","RE74s","RE75s","age2","educ2","age_educ","RE74_2","RE75_2","RE74_RE75","y"
1,37,11,1,0,1,1,0,0,1369,121,407,0,0,0,9930.046
1,22,9,0,1,0,1,0,0,484,81,198,0,0,0,3595.894
1,30,12,1,0,0,0,0,0,900,144,360,0,0,0,24909.45
1,27,11,1,0,0,1,0,0,729,121,297,0,0,0,7506.146
1,33,8,1,0,0,1,0,0,1089,64,264,0,0,0,289.7899
1,22,9,1,0,0,1,0,0,484,81,198,0,0,0,4056.494
1,23,12,1,0,0,0,0,0,529,144,276,0,0,0,0
1,32,11,1,0,0,1,0,0,1024,121,352,0,0,0,8472.158
1,22,16,1,0,0,0,0,0,484,256,352,0,0,0,2164.022
1,33,12,0,0,1,0,0,0,1089,144,396,0,0,0,12418.07
1,19,9,1,0,0,1,0,0,361,81,171,0,0,0,8173.908
1,21,13,1,0,0,0,0,0,441,169,273,0,0,0,17094.64
1,18,8,1,0,0,1,0,0,324,64,144,0,0,0,0
1,27,10,1,0,1,1,0,0,729,100,270,0,0,0,18739.93
1,17,7,1,0,0,1,0,0,289,49,119,0,0,0,3023.879
1,19,10,1,0,0,1,0,0,361,100,190,0,0,0,3228.503
1,27,13,1,0,0,0,0,0,729,169,351,0,0,0,14581.86
1,23,10,1,0,0,1,0,0,529,100,230,0,0,0,7693.4
1,40,12,1,0,0,0,0,0,1600,144,480,0,0,0,10804.32
1,26,12,1,0,0,0,0,0,676,144,312,0,0,0,10747.35
1,23,11,1,0,0,1,0,0,529,121,253,0,0,0,0
1,41,14,0,0,0,0,0,0,1681,196,574,0,0,0,5149.501
1,38,9,0,0,0,1,0,0,1444,81,342,0,0,0,6408.95
1,24,11,1,0,0,1,0,0,576,121,264,0,0,0,1991.4
1,18,10,1,0,0,1,0,0,324,100,180,0,0,0,11163.17
1,29,11,1,0,1,1,0,0,841,121,319,0,0,0,9642.999
1,25,11,1,0,0,1,0,0,625,121,275,0,0,0,9897.049
1,27,10,0,1,0,1,0,0,729,100,270,0,0,0,11142.87
1,17,10,1,0,0,1,0,0,289,100,170,0,0,0,16218.04
1,24,11,1,0,0,1,0,0,576,121,264,0,0,0,995.7002
1,17,10,1,0,0,1,0,0,289,100,170,0,0,0,0
1,48,4,1,0,0,1,0,0,2304,16,192,0,0,0,6551.592
1,25,11,1,0,1,1,0,0,625,121,275,0,0,0,1574.424
1,20,12,1,0,0,0,0,0,400,144,240,0,0,0,0
1,25,12,1,0,0,0,0,0,625,144,300,0,0,0,3191.753
1,42,14,1,0,0,0,0,0,1764,196,588,0,0,0,20505.93
1,25,5,1,0,0,1,0,0,625,25,125,0,0,0,6181.88
1,23,12,1,0,1,0,0,0,529,144,276,0,0,0,5911.551
1,46,8,1,0,1,1,0,0,2116,64,368,0,0,0,3094.156
1,24,10,1,0,0,1,0,0,576,100,240,0,0,0,0
1,21,12,1,0,0,0,0,0,441,144,252,0,0,0,1254.582
1,19,9,0,0,0,1,0,0,361,81,171,0,0,0,13188.83
1,17,8,1,0,0,1,0,0,289,64,136,0,0,0,8061.485
1,18,8,0,1,1,1,0,0,324,64,144,0,0,0,2787.96
1,20,11,1,0,0,1,0,0,400,121,220,0,0,0,3972.54
1,25,11,1,0,1,1,0,0,625,121,275,0,0,0,0
1,17,8,1,0,0,1,0,0,289,64,136,0,0,0,0
1,17,9,1,0,0,1,0,0,289,81,153,0,0,0,0
1,25,5,1,0,0,1,0,0,625,25,125,0,0,0,12187.41
1,23,12,1,0,0,0,0,0,529,144,276,0,0,0,4843.176
1,28,8,1,0,0,1,0,0,784,64,224,0,0,0,0
1,31,11,1,0,1,1,0,0,961,121,341,0,0,0,8087.487
1,18,11,1,0,0,1,0,0,324,121,198,0,0,0,0
1,25,12,1,0,0,0,0,0,625,144,300,0,0,0,2348.973
1,30,11,1,0,1,1,0,0,900,121,330,0,0,0,590.7818
1,17,10,1,0,0,1,0,0,289,100,170,0,0,0,0
1,37,9,1,0,0,1,0,0,1369,81,333,0,0,0,1067.506
1,41,4,1,0,1,1,0,0,1681,16,164,0,0,0,7284.986
1,42,14,1,0,1,0,0,0,1764,196,588,0,0,0,13167.52
1,22,11,0,0,0,1,0,0,484,121,242,0,0,0,1048.432
1,17,8,1,0,0,1,0,0,289,64,136,0,0,0,0
1,29,8,1,0,0,1,0,0,841,64,232,0,0,0,1923.938
1,35,10,1,0,0,1,0,0,1225,100,350,0,0,0,4666.236
