"location","chain","fullBefore","partBefore","fullAfter","partAfter"
"NJ","burgerking",18,8,15,6
"NJ","kfc",12,6,17,2
"NJ","kfc",15,8,16,3
"NJ","wendys",16,7,16,3
"NJ","kfc",15,9,21,8
"NJ","wendys",14,11,14,6
"NJ","kfc",19,6,19,7
"NJ","kfc",14,9,16,3
"NJ","burgerking",20,8,13,5
"NJ","burgerking",14,10,16,7
"NJ","burgerking",18,8,18,6
"NJ","wendys",21,10,15,6
"NJ","kfc",10,5,14,6
"NJ","kfc",13,11,16,8
"NJ","burgerking",14,10,19,5
"NJ","burgerking",16,8,16,7
"NJ","kfc",13,5,12,8
"NJ","kfc",6,9,12,4
"NJ","wendys",7,9,14,6
"NJ","burgerking",18,8,14,6
"NJ","burgerking",13,8,16,8
"NJ","burgerking",9,7,18,8
"NJ","wendys",13,9,15,6
"NJ","burgerking",18,9,13,6
"NJ","burgerking",20,7,18,5
"NJ","wendys",13,5,17,6
"NJ","kfc",13,9,19,4
"NJ","wendys",9,9,11,4
"NJ","burgerking",15,6,16,4
"NJ","kfc",12,5,20,8
"NJ","burgerking",15,8,18,8
"NJ","wendys",16,7,14,5
"NJ","kfc",17,9,18,4
"NJ","wendys",12,5,13,6
"NJ","burgerking",16,6,15,10
"NJ","kfc",9,10,20,10
"NJ","kfc",12,9,15,3
"NJ","burgerking",11,9,18,5
"NJ","burgerking",7,12,15,9
"NJ","kfc",14,8,11,6
"NJ","kfc",15,4,13,9
"NJ","wendys",13,9,13,5
"NJ","burgerking",16,10,15,7
"NJ","wendys",12,12,15,6
"NJ","kfc",10,5,16,12
"NJ","burgerking",15,6,15,8
"NJ","kfc",12,7,22,4
"NJ","burgerking",18,6,12,5
"NJ","burgerking",13,7,15,7
"NJ","wendys",16,8,17,2
"NJ","kfc",15,6,21,2
"NJ","wendys",12,12,16,4
"NJ","wendys",19,8,20,5
"NJ","wendys",16,8,11,8
"NJ","kfc",14,9,20,5
"NJ","wendys",15,8,14,6
"NJ","kfc",16,8,15,6
"NJ","wendys",14,11,13,5
"NJ","wendys",5,8,16,9
"NJ","wendys",15,5,21,4
"NJ","wendys",13,9,23,6
"NJ","burgerking",15,7,13,5
"NJ","wendys",16,7,17,7
"NJ","wendys",18,6,20,9
"NJ","burgerking",12,9,15,7
"NJ","wendys",18,8,15,9
"NJ","kfc",15,9,15,8
"NJ","burgerking",17,8,18,5
"NJ","burgerking",17,7,20,6
"NJ","wendys",16,11,18,9
"NJ","wendys",11,7,17,3
"NJ","kfc",14,10,15,7
"NJ","burgerking",16,6,17,6
"NJ","kfc",11,7,14,8
"NJ","burgerking",12,7,15,8
"NJ","wendys",16,7,19,7
"NJ","burgerking",16,11,17,9
"NJ","kfc",15,8,17,3
"NJ","wendys",11,8,15,8
"NJ","wendys",11,6,19,3
"NJ","burgerking",19,7,20,7
"NJ","wendys",15,10,13,6
"NJ","kfc",14,11,16,8
"NJ","kfc",14,10,16,6
"NJ","burgerking",10,5,14,3
"NJ","kfc",16,12,13,2
"NJ","burgerking",13,10,16,7
"NJ","burgerking",13,8,18,6
"NJ","kfc",17,9,20,5
"NJ","kfc",16,6,10,5
"NJ","wendys",18,6,14,5
"NJ","burgerking",13,8,15,6
"NJ","wendys",16,6,11,4
"NJ","kfc",18,8,14,2
"NJ","burgerking",11,11,14,6
"NJ","kfc",11,6,14,8
"NJ","burgerking",11,7,9,10
"NJ","burgerking",10,8,17,6
"NJ","burgerking",14,6,14,6
"NJ","wendys",16,7,21,8
"NJ","wendys",18,10,18,6
"NJ","wendys",17,10,12,5
"NJ","burgerking",11,9,16,3
"NJ","burgerking",20,4,14,3
"NJ","burgerking",12,8,19,7
"NJ","burgerking",14,10,16,3
"NJ","burgerking",13,10,14,8
"NJ","kfc",14,8,17,3
"NJ","wendys",15,3,16,6
"NJ","wendys",14,8,16,6
"NJ","burgerking",14,9,22,6
"NJ","burgerking",14,8,14,6
"NJ","wendys",13,8,15,7
"NJ","wendys",12,9,11,6
"NJ","kfc",9,7,16,6
"NJ","wendys",13,11,19,6
"NJ","wendys",12,9,10,5
"NJ","wendys",22,6,15,9
"NJ","kfc",10,11,12,2
"NJ","burgerking",14,10,20,8
"NJ","burgerking",10,10,20,6
"NJ","kfc",10,5,17,7
"NJ","burgerking",14,7,20,8
"NJ","wendys",11,9,13,8
"NJ","burgerking",14,8,19,5
"NJ","burgerking",13,9,14,9
"NJ","wendys",12,13,17,3
"NJ","wendys",8,6,15,8
"NJ","wendys",10,4,15,5
"NJ","wendys",15,9,18,2
"NJ","burgerking",16,7,12,2
"NJ","wendys",13,9,15,6
"NJ","burgerking",14,6,17,10
"NJ","burgerking",17,12,15,7
"NJ","burgerking",18,8,16,8
"NJ","kfc",11,7,15,8
"NJ","kfc",14,8,21,5
"NJ","wendys",18,10,18,8
"NJ","wendys",13,8,25,7
"NJ","kfc",14,5,14,6
"NJ","burgerking",14,8,18,8
"NJ","wendys",11,10,22,7
"NJ","kfc",13,8,17,5
"NJ","kfc",14,9,13,7
"NJ","wendys",13,8,13,4
"NJ","kfc",17,8,16,7
"NJ","kfc",13,9,20,5
"NJ","wendys",13,10,18,7
"NJ","wendys",16,6,10,7
"NJ","wendys",11,8,14,5
"NJ","wendys",14,8,16,7
"NJ","wendys",9,6,12,7
"NJ","wendys",18,6,18,6
"NJ","kfc",13,7,9,8
"NJ","kfc",13,9,16,9
"NJ","kfc",10,7,15,5
"NJ","wendys",14,6,15,4
"NJ","wendys",12,8,15,7
"NJ","kfc",12,6,17,4
"NJ","wendys",18,10,17,5
"PA","burgerking",17,7,15,9
"PA","kfc",13,4,18,8
"PA","kfc",9,9,13,8
"PA","kfc",17,6,15,8
"PA","wendys",10,9,15,9
"PA","burgerking",11,6,18,7
"PA","burgerking",6,6,16,7
"PA","burgerking",17,7,11,6
"PA","kfc",16,6,12,6
"PA","kfc",16,6,12,9
"PA","wendys",18,5,14,11
"PA","wendys",15,5,14,6
"PA","burgerking",12,8,15,8
"PA","burgerking",17,5,12,6
"PA","wendys",19,4,13,10
"PA","kfc",10,6,16,7
"PA","burgerking",13,5,14,8
"PA","wendys",14,3,12,9
"PA","wendys",11,6,17,6
"PA","wendys",17,7,14,8
"PA","wendys",13,8,11,8
"PA","wendys",19,8,19,9
"PA","burgerking",15,5,10,6
"PA","wendys",17,6,9,6
"PA","wendys",20,5,7,10
"PA","wendys",16,6,16,7
"PA","kfc",18,5,12,7
"PA","kfc",16,5,13,8
"PA","burgerking",10,8,15,7
"PA","kfc",15,6,13,12
"PA","kfc",17,6,9,9
"PA","kfc",16,10,8,8
"PA","burgerking",14,7,13,10
"PA","burgerking",11,6,15,8
"PA","wendys",17,8,7,8
"PA","wendys",12,6,15,6
"PA","kfc",11,10,15,3
"PA","wendys",17,6,18,6
"PA","burgerking",11,6,14,8
"PA","wendys",16,5,15,6
