"day","observed_price"
1,97.63
2,104
3,102.07
4,100.01
5,101.68
6,99.86
7,100.94
8,100.65
9,100.14
10,104.14
11,100.42
12,101.63
13,102.14
14,104.4
15,100.98
16,99.63
17,106.23
18,102.35
19,100.4
20,99.86
21,99.43
22,100.1
23,102.33
24,102.59
25,101.27
26,98.68
27,98.34
28,97.4
29,97.48
30,99.88
31,96.97
32,103.21
33,98.91
34,100.16
35,98.87
36,99.78
37,98.78
38,101.44
39,102.6
40,102.2
41,99.71
42,99.21
43,99.64
44,102.74
45,99
46,101.77
47,105.14
48,100.85
49,98
50,99.95
51,102.19
52,100.64
53,100.25
54,100.66
55,102.49
56,105.35
57,103.05
58,104.29
59,103.81
60,102.4
61,99.72
62,102.01
63,101.72
64,102.56
65,104.34
66,105.57
67,104.29
68,101.25
69,98.04
70,101.43
71,103.83
72,105
73,103.6
74,103.75
75,99.09
76,103.1
77,101.23
78,102.27
79,101.21
80,102.04
81,101.14
82,97.76
83,102.84
84,101.87
85,101.03
86,101.64
87,101.9
88,102.85
89,106
90,102.05
91,103.64
92,106.34
93,106.5
94,106.85
95,102.96
96,109.08
97,104.79
98,109.94
99,104.58
100,107.16
101,108.89
102,104.46
103,104.57
104,104.02
105,103.55
106,104.1
107,105.61
108,100.36
109,103.64
110,105.42
111,107.67
112,105.79
113,105.13
114,99.02
115,101.23
116,102.1
117,104.42
118,102.88
119,100.12
120,105.4
121,103.13
122,101.87
123,103.16
124,97.7
125,101.52
126,100.45
127,102.41
128,101.08
129,102.53
130,103.25
131,100.54
132,103.59
133,99.49
134,100.46
135,104.64
136,100.9
137,96.84
138,97.19
139,100.04
140,103.52
141,100.56
142,102.51
143,103
144,103.31
145,99.01
146,97.66
147,93.88
148,96.55
149,95.7
150,96.38
151,97.06
152,100
153,94.53
154,97.9
155,98.27
156,96.17
157,98.42
158,98.98
159,97.82
160,93.65
161,103.46
162,98.65
163,99.62
164,97.98
165,101.77
166,101.06
167,99.22
168,100.84
169,97.85
170,101.82
171,99.45
172,105.05
173,96.96
174,99.31
175,103.4
176,102.24
177,99.27
178,98.48
179,100.98
180,100.97
181,97.1
182,99.99
183,101.2
184,100.92
185,97.85
186,100.74
187,102.41
188,101.35
189,98.23
190,100.16
191,101.37
192,99.53
193,96.28
194,102.43
195,98.37
196,97.96
197,103.53
198,99.39
199,101.75
200,97.1
